NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
The Black Lodge,,bar,,node,3022436361,23.3173392,42.6976107
Авразия,,restaurant,,node,3025793568,23.3153104,42.6941084
Бешамел,,restaurant,,node,3027146720,23.3142725,42.6915298
India House,,restaurant,,node,3028739197,23.3146297,42.6903892
Прага 18,Praga 18,bar,,node,3030669548,23.3120216,42.6886491
Sushi Express,,restaurant,,node,3030673605,23.3121075,42.6883448
Khaola Sara foodз,,restaurant,,node,3032594119,23.3117772,42.6869655
3 oz. bar,,bar,,node,3035725679,23.3220992,42.6862595
Vita rama,,restaurant,,node,3035725681,23.3216539,42.6853182
Manzo,,restaurant,,node,3035730812,23.3230491,42.6858879
By the Way,,restaurant,,node,3035730813,23.322652,42.6864966
Пицария Бурано,Pizza Burano,restaurant,,node,3035743282,23.3229426,42.6844883
Pizza@home,,restaurant,,node,3035743283,23.3233,42.6847058
Motto,,restaurant,,node,3038829154,23.3301366,42.6936705
Кафе-галерия Synthesis,,cafe,,node,3040119376,23.3294992,42.6888657
Mr. Pizza,,restaurant,,node,3040125597,23.3292608,42.6886455
Бистро Любимото,Bistro Lyubimoto,restaurant,,node,3040127761,23.329245,42.6894355
Мамма Миа,,restaurant,,node,3040132420,23.3280345,42.6894897
Namos,,restaurant,,node,3040134318,23.3281724,42.6902241
Minibar,,bar,,node,3040139081,23.3299491,42.6906524
Yum,,restaurant,,node,3040141858,23.3291533,42.6909107
Thin Red Line,,bar,,node,3046464566,23.3052025,42.6970146
Burrata Italiana,,restaurant,,node,3062912693,23.3188182,42.6717942
Гуркха,Gurkha,restaurant,,node,3063061179,23.3152369,42.6732007
Emesa,,restaurant,,node,3063077347,23.3184283,42.6752395
Немска бирария Фенерите,The Lanterns German Alehouse,restaurant,,node,3063160276,23.3110138,42.6731868
,,restaurant,,node,3063298405,23.3179591,42.6719542
Ili Beirut,,restaurant,,node,3064049871,23.330787,42.6706631
Straight Club,,bar,,node,3065074357,23.3358095,42.6928578
Домашна Кухня Черни Връх,,restaurant,,node,3068316307,23.3202192,42.6706493
Green Deli Cafe,,cafe,,node,3068334848,23.3202692,42.6707386
Chef's,,restaurant,,node,3068344426,23.3180086,42.6702765
Бирария Стамболовъ,,restaurant,,node,3069041305,23.3232033,42.6784976
Мама Миа,,restaurant,,node,3069073189,23.3239004,42.6820251
Arcadia,,restaurant,,node,3069384526,23.3245652,42.6796998
The Old Dutchman,,pub,,node,3070859041,23.328806,42.6796387
Forno Cipollini,,restaurant,,node,3070860979,23.3315653,42.6804868
Орлово гнездо,,restaurant,,node,3070891292,23.3340178,42.6810585
Ротонда,Rotonda,cafe,,node,3072121799,23.3227547,42.6966678
Capo,,restaurant,,node,3072123896,23.3227299,42.6966127
Art Club Museum,,restaurant,,node,3072133700,23.3242413,42.6963367
,,restaurant,,node,3072143589,23.3222493,42.6970983
Franco di Roma,,restaurant,,node,3073584933,23.2921633,42.6738813
Piu Dolce,,cafe,,node,3076004326,23.3233207,42.69236
Golden Nero,,restaurant,,node,3079380245,23.3098242,42.67772
Отечество,,restaurant,,node,3079380390,23.3103212,42.6788895
The gentlemen,,restaurant,,node,3079388107,23.3103723,42.6790731
Donas,,fast_food,,node,3079881762,23.3423637,42.6529971
Chillout Cafe,,restaurant,,node,3080414470,23.3172487,42.6845913
Macondo,,bar,,node,3082248960,23.3252196,42.6988325
Пиано бар Чикаго,Piano Bar Chicago,bar,,node,3082324077,23.3271123,42.6982197
Orsetti Pasticceria,,restaurant,,node,3083389506,23.32856,42.6982807
SBI,,restaurant,,node,3083397700,23.328144,42.6995895
Бюфетъ,Buffet,restaurant,,node,3083491439,23.3279954,42.7003951
The Muse,,bar,,node,3083498413,23.3266522,42.7001568
Skapto,Skapto,fast_food,,node,3083498484,23.3264863,42.699798
Barista Coffee and more,,cafe,,node,3083632413,23.3266191,42.7004951
Камелот,,restaurant,,node,3087327027,23.5495607,42.4718605
Магданоз,,bar,,node,3097124222,23.3107291,42.6948636
Шугър,Sugar,bar,,node,3098100743,23.3192556,42.6985087
Largo Di Serdika,,bar,,node,3098732423,23.3225686,42.6980859
"Шаварма ""Алгафари""",Shawarma Algafari,fast_food,,node,3099463864,23.3237715,42.7038768
Costa,,cafe,,node,3104193435,23.336756,42.6925761
Клуб на архитекта,Club of the Architects,restaurant,,node,3104193436,23.3373536,42.6932825
Cafe de luxe,,cafe,,node,3110296241,23.3612187,42.6800705
Green Deli Cafe,,cafe,,node,3111781442,23.3442958,42.6875965
Виктория,Victoria,restaurant,,node,3111809958,23.3456833,42.6880756
При Майстор Ибо,Pri Maistor Ibo,restaurant,,node,3119999360,23.2878951,42.6733263
Nature bar& food,,restaurant,,node,3120014629,23.2841455,42.6690315
Банкович,,restaurant,,node,3120016035,23.2847481,42.6682745
Бандера,,cafe,,node,3120016929,23.284762,42.668687
Papa John's,,fast_food,,node,3120028431,23.2867503,42.6652701
Diana,,ice_cream,,node,3130698330,23.2875878,42.6708361
,,fast_food,,node,3130699629,23.2874917,42.6707429
Класик,,cafe,,node,3130704229,23.2895035,42.6687934
Mr. Pizza,,restaurant,,node,3130710430,23.2899534,42.6667657
Таратор,,restaurant,,node,3160288418,23.3169625,42.7040572
L'Étranger,,restaurant,,node,3167584812,23.3239895,42.7011238
Viva Cafe,,cafe,,node,3167845086,23.3107837,42.7034089
Coffee & Croissant to Go,,cafe,,node,3167851713,23.3102099,42.700927
Royal Thai,,restaurant,,node,3171724665,23.3304271,42.6921553
KFC,,fast_food,,node,3179877677,23.308836,42.698069
Happy Bar & Grill,Happy Bar & Grill,restaurant,,node,3179877684,23.3079793,42.6983125
Хъшове,Hashove,restaurant,,node,3182025199,23.2890665,42.7003551
Mon ami,,restaurant,,node,3183667163,23.2961826,42.6803012
Дегея,Degeq,restaurant,,node,3183687813,23.2909475,42.6815
Antique,,restaurant,,node,3183687814,23.29334,42.6819593
О!Шипка,,restaurant,,node,3191317922,23.2768112,42.6708658
Bacon,,restaurant,,node,3193735085,23.2954537,42.669877
Spaghetti Company,,restaurant,,node,3194948488,23.289305,42.6640943
Nuevo,,restaurant,,node,3196340890,23.3102237,42.6807466
Лъчони,,restaurant,,node,3218262211,23.3513868,42.7081376
Viva,,cafe,,node,3231624293,23.2908157,42.6676989
Делиция,Delicia,cafe,,node,3254955861,23.3671675,42.6426847
Верона,,restaurant,,node,3267863836,23.3033381,42.7294069
Червен Изток,,restaurant,,node,3292300863,23.2897835,42.6711595
Витоша,,restaurant,,node,3297207114,23.365703,42.5338605
Бар Пойнт,Bar Point,bar,,node,3317525470,23.3034117,42.7259195
Aladin Foods,,fast_food,,node,3317525471,23.3035693,42.7257506
,,fast_food,,node,3317525472,23.3035374,42.7257848
Happy Bar & Grill,Happy Bar & Grill,restaurant,,node,3355481518,23.379277,42.6482292
E-Motion,,bar,,node,3366735385,23.3759251,42.6554071
,,fast_food,,node,3380818507,23.3114568,42.6984163
ATA,,restaurant,,node,3406043749,23.3543086,42.6672093
Bar & Dinner 88,,restaurant,,node,3468532186,23.320311,42.693813
Castello,,cafe,,node,3475113394,23.2952558,42.6758567
Старата госпожа,,restaurant,,node,3477199493,23.342324,42.6945412
,,cafe,,node,3491709493,23.2954204,42.6870941
Червеното,,cafe,,node,3491729793,23.2917351,42.6851278
,,fast_food,,node,3491730865,23.2920795,42.6854566
Comedy Club,,bar,,node,3504370477,23.3264615,42.6974939
Gravity,,bar,,node,3504370478,23.3261987,42.6975117
After Five,,bar,,node,3504377639,23.3267056,42.6974505
Бирария Дондуковъ,,pub,,node,3504388546,23.3276409,42.6976673
Go Grill горнооряховска скара,,fast_food,,node,3504395376,23.327311,42.6981088
Фабрика Дъга,Rainbow factory,cafe,,node,3506792233,23.3259351,42.698897
Костис,Kostis,cafe,,node,3511830144,23.3282486,42.6982261
